,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/1M pop,Population
201,Antigua and Barbuda,7654,28,137,1.0,7464,21,53,1,76989,1378,18901,190118,99417
202,Vanuatu,7622,32,14,1.0,7137,114,471,3,23796,44,24976,77974,320311
203,Liberia,7434,0,294,0.0,5747,0,1393,2,1409,56,139824,26503,5275742
204,Chad,7412,0,193,0.0,4874,0,2345,0,429,11,191341,11066,17290330
205,St. Vincent Grenadines,6786,0,106,0.0,6641,0,39,0,60814,950,98944,886698,111587
206,British Virgin Islands,6355,0,62,0.0,0,0,0,1,20768,2026,103049,3367614,306
207,Turks and Caicos,5995,0,36,0.0,5918,0,41,4,151091,907,497269,12532613,39678
208,Sao Tome and Principe,5964,0,73,0.0,5884,0,7,0,26316,322,29036,128123,226626
209,Saint Kitts and Nevis,557,4,43,0.0,5519,0,8,0,103359,798,70707,1312062,5389
210,Cook Islands,5229,29,1,0.0,499,49,238,0,297204,57,16982,965215,17594
211,Palau,469,0,6,0.0,4043,0,641,1,256958,329,46722,2559829,18252
212,St. Barth,4544,0,6,0.0,0,0,0,0,457511,604,78646,7918445,9932
213,Kiribati,3089,5,13,0.0,2601,0,475,3,25152,106,0,0,122812
214,Anguilla,2788,0,9,0.0,2766,0,13,4,182832,590,51382,3369532,15249
215,Saint Pierre Miquelon,2701,0,1,0.0,2449,0,251,1,470394,174,23446,4083246,5742
216,Diamond Princess,712,0,13,0.0,699,0,0,0,0,0,0,0,0
217,Wallis and Futuna,454,0,7,0.0,438,0,9,0,41736,644,20508,1885273,10878
218,Montserrat,371,98,2,0.0,198,17,171,0,7423,400,10135,2027811,4998
219,Falkland Islands,195,67,0,0.0,0,0,0,0,53191,0,8632,2354610,3666
220,Macao,82,0,0,0.0,82,0,0,0,123,0,5375,8076,665578
221,Vatican City,29,0,0,0.0,29,0,0,0,36025,0,0,0,805
222,Marshall Islands,17,0,0,0.0,14,0,3,0,284,0,0,0,59923
223,Western Sahara,10,0,1,0.0,9,0,0,0,16,2,0,0,624278
224,MS Zaandam,9,0,2,0.0,7,0,0,0,0,0,0,0,0
225,Niue,9,0,0,0.0,8,1,1,0,5468,0,0,0,1646
226,Micronesia,7,0,0,0.0,1,0,6,0,60,0,0,0,117236
227,Nauru,5,0,0,0.0,3,0,2,0,457,0,0,0,10949
228,Saint Helena,2,0,0,0.0,2,0,0,0,327,0,0,0,611
